日期,收盘,开盘,高,低,交易量,涨跌幅
2018年10月30日,13.1,12.58,13.4,12.31,24.8,5.05%
2018年5月18日,12.84,13.5,13.5,12.8,24.7,-5.24%
2019年5月2日,17.72,17.8,18.15,17.52,24.6,-0.62%
2018年10月9日,13.17,13.31,13.54,13,24.6,-3.37%
2019年5月24日,14.05,14.49,14.57,13.99,24.5,-1.89%
2019年4月9日,17.84,17.92,17.96,17.77,24.4,-0.39%
2019年2月4日,17.7,17.89,18.05,17.47,24.2,-0.73%
2018年9月6日,11.4,11.59,11.66,11.11,24.2,0.09%
2018年11月13日,13.77,13.33,13.93,13.1,24,6.74%
2019年10月7日,13.64,13.88,13.95,13.57,23.9,-2.01%
2019年1月14日,15.06,15.2,15.37,14.71,23.9,-1.95%
2019年11月27日,17,16.89,17.3,16.81,23.7,1.19%
2019年2月11日,17.29,17.82,17.95,17.15,23.7,-0.97%
2019年1月7日,14.27,13.94,14.37,13.74,23.6,4.16%
2018年5月22日,13.14,13,13.26,12.61,23.6,3.06%
2019年10月28日,15.72,15.56,15.91,15.5,23.5,1.29%
2019年3月18日,18.5,18.91,18.95,18.37,23,-1.12%
2019年9月16日,15,14.9,15.2,14.87,22.9,-0.40%
2019年4月24日,17.77,17.66,17.89,17.19,22.9,0.23%
2018年9月27日,13.02,12.87,13.1,12.73,22.8,1.17%
2019年12月19日,18.04,17.79,18.09,17.61,22.7,1.98%
2019年8月30日,14.05,13.75,14.25,13.75,22.7,2.55%
2018年8月13日,10.81,11.19,11.27,10.7,22.7,-2.96%
2019年4月26日,17.78,17.47,17.81,17.28,22.5,1.66%
2019年10月31日,15.79,15.69,15.87,15.63,22.3,0.51%
2018年9月20日,13.44,13.49,13.69,12.97,22.1,1.66%
2018年4月10日,11.5,11.45,11.59,11.25,22,3.60%
2019年3月15日,18.71,18.59,18.83,18.5,21.8,1.14%
2018年12月27日,14.08,13.41,14.2,13.33,21.8,1.66%
2018年11月8日,14.49,15.06,15.08,14.35,21.5,-4.36%
2019年8月2日,14.72,14.7,14.79,14.21,21.4,-0.20%
2020年1月29日,22.38,22.59,22.61,22.04,21.3,-0.13%
2018年10月17日,13.25,13.67,13.72,12.91,21.3,-1.56%
2019年8月9日,13.91,14.09,14.11,13.86,21.2,-1.97%
